Sampling Rate;100.00;;
MCA L;MCA R;ABP;ETCO2
cm/s;cm/s;mmHg;mmHg
116.00;99.00;92.04;162.84
56.00;46.00;44.88;81.36
53.00;44.00;44.52;81.36
53.00;41.00;44.16;81.36
51.00;37.00;44.28;81.36
47.00;34.00;43.88;81.72
44.00;30.00;42.96;81.72
41.00;27.00;42.76;81.48
40.00;27.00;41.84;81.60
40.00;27.00;41.84;81.48
38.00;27.00;41.72;81.72
38.00;27.00;41.44;81.36
38.00;27.00;40.64;81.48
38.00;26.00;40.20;81.36
38.00;26.00;40.00;81.24
38.00;25.00;40.04;81.12
37.00;25.00;39.80;80.40
37.00;25.00;39.04;80.40
36.00;24.00;39.20;80.28
35.00;24.00;39.16;80.40
35.00;24.00;38.92;80.16
34.00;24.00;38.48;80.04
33.00;24.00;38.64;80.16
31.00;24.00;38.72;80.16
33.00;23.00;38.40;80.16
35.00;23.00;37.84;80.16
40.00;24.00;38.04;80.16
47.00;27.00;37.64;80.16
53.00;31.00;37.72;80.28
60.00;38.00;37.04;80.28
68.00;44.00;37.20;80.04
73.00;49.00;36.92;80.04
81.00;53.00;36.72;80.04
82.00;58.00;36.68;79.92
83.00;62.00;35.92;79.92
84.00;64.00;35.36;79.92
84.00;66.00;35.32;80.04
85.00;68.00;34.60;80.04
89.00;71.00;36.16;80.28
88.00;74.00;39.52;80.40
90.00;77.00;47.84;80.28
92.00;78.00;61.32;80.28
94.00;79.00;77.40;80.04
96.00;80.00;92.16;80.28
96.00;81.00;101.76;80.28
96.00;81.00;103.88;80.76
97.00;81.00;101.28;80.76
97.00;81.00;96.28;80.64
97.00;81.00;94.56;80.76
96.00;80.00;95.84;81.24
94.00;79.00;98.12;81.36
92.00;78.00;98.48;81.48
90.00;77.00;97.12;81.84
88.00;75.00;94.52;81.72
85.00;73.00;92.72;81.96
83.00;72.00;91.60;82.20
80.00;69.00;92.36;82.80
77.00;67.00;93.52;82.68
72.00;63.00;93.80;82.56
69.00;59.00;93.16;82.56
64.00;56.00;91.92;82.56
62.00;53.00;89.96;82.68
60.00;52.00;89.00;82.44
58.00;51.00;87.64;83.04
